"","Nome","Classe","Codigo","Setor","Subsetor","VolNegAno","PatrLiquid","Nome_indice","Valor_indice","Ano"
"151","Afluente T","ON","AFLT3","Utilidade pública","Energia elétrica",13,187,"PrecoLucro",13.3,"2016"
"152","Afluente T","ON","AFLT3","Utilidade pública","Energia elétrica",13,187,"PrecoLucro",25,"2017"
"153","Afluente T","ON","AFLT3","Utilidade pública","Energia elétrica",13,187,"PrecoLucro",15.5,"2018"
"154","Afluente T","ON","AFLT3","Utilidade pública","Energia elétrica",13,187,"PrecoLucro",27.7,"2019"
"155","Afluente T","ON","AFLT3","Utilidade pública","Energia elétrica",13,187,"PrecoLucro",33.2,"2020"
"156","Afluente T","ON","AFLT3","Utilidade pública","Energia elétrica",13,187,"PrecoLucro",27.7,"2021"
"157","Afluente T","ON","AFLT3","Utilidade pública","Energia elétrica",13,187,"Preco_ValorPatrim",2.5,"2016"
"158","Afluente T","ON","AFLT3","Utilidade pública","Energia elétrica",13,187,"Preco_ValorPatrim",7,"2017"
"159","Afluente T","ON","AFLT3","Utilidade pública","Energia elétrica",13,187,"Preco_ValorPatrim",1.8,"2018"
"160","Afluente T","ON","AFLT3","Utilidade pública","Energia elétrica",13,187,"Preco_ValorPatrim",3.3,"2019"
"161","Afluente T","ON","AFLT3","Utilidade pública","Energia elétrica",13,187,"Preco_ValorPatrim",3.3,"2020"
"162","Afluente T","ON","AFLT3","Utilidade pública","Energia elétrica",13,187,"Preco_ValorPatrim",3.1,"2021"
"163","Afluente T","ON","AFLT3","Utilidade pública","Energia elétrica",13,187,"PrecoVendas",6.1,"2016"
"164","Afluente T","ON","AFLT3","Utilidade pública","Energia elétrica",13,187,"PrecoVendas",13.3,"2017"
"165","Afluente T","ON","AFLT3","Utilidade pública","Energia elétrica",13,187,"PrecoVendas",10.4,"2018"
"166","Afluente T","ON","AFLT3","Utilidade pública","Energia elétrica",13,187,"PrecoVendas",18.1,"2019"
"167","Afluente T","ON","AFLT3","Utilidade pública","Energia elétrica",13,187,"PrecoVendas",17.3,"2020"
"168","Afluente T","ON","AFLT3","Utilidade pública","Energia elétrica",13,187,"PrecoVendas",14,"2021"
"169","Afluente T","ON","AFLT3","Utilidade pública","Energia elétrica",13,187,"PrecoEBITDA",11.6,"2016"
"170","Afluente T","ON","AFLT3","Utilidade pública","Energia elétrica",13,187,"PrecoEBITDA",24.8,"2017"
"171","Afluente T","ON","AFLT3","Utilidade pública","Energia elétrica",13,187,"PrecoEBITDA",15.3,"2018"
"172","Afluente T","ON","AFLT3","Utilidade pública","Energia elétrica",13,187,"PrecoEBITDA",28,"2019"
"173","Afluente T","ON","AFLT3","Utilidade pública","Energia elétrica",13,187,"PrecoEBITDA",32.2,"2020"
"174","Afluente T","ON","AFLT3","Utilidade pública","Energia elétrica",13,187,"PrecoEBITDA",26.2,"2021"
"175","Afluente T","ON","AFLT3","Utilidade pública","Energia elétrica",13,187,"Preco_FCF",-60,"2016"
"176","Afluente T","ON","AFLT3","Utilidade pública","Energia elétrica",13,187,"Preco_FCF",15.8,"2017"
"177","Afluente T","ON","AFLT3","Utilidade pública","Energia elétrica",13,187,"Preco_FCF",14.4,"2018"
"178","Afluente T","ON","AFLT3","Utilidade pública","Energia elétrica",13,187,"Preco_FCF",25,"2019"
"179","Afluente T","ON","AFLT3","Utilidade pública","Energia elétrica",13,187,"Preco_FCF",24.4,"2020"
"180","Afluente T","ON","AFLT3","Utilidade pública","Energia elétrica",13,187,"Preco_FCF",24.9,"2021"
"181","Alfa Consorc","ON","BRGE3","Financeiro","Previdência e seguros",4,1235,"PrecoLucro",NA,"2016"
"182","Alfa Consorc","ON","BRGE3","Financeiro","Previdência e seguros",4,1235,"PrecoLucro",5.1,"2017"
"183","Alfa Consorc","ON","BRGE3","Financeiro","Previdência e seguros",4,1235,"PrecoLucro",5.6,"2018"
"184","Alfa Consorc","ON","BRGE3","Financeiro","Previdência e seguros",4,1235,"PrecoLucro",22,"2019"
"185","Alfa Consorc","ON","BRGE3","Financeiro","Previdência e seguros",4,1235,"PrecoLucro",18.4,"2020"
